id;key;first_name;last_name;team_role;exchange_allowed
1;6881;Justen;Jacobi;once psst;false
2;2185;Zora;Tillman-Kihn;failing offensively;false
3;15708;Jeff;Blanda-Nader;guess reprocess athwart;true
4;20837;Viola;Bernhard;saffron frequent;true
5;9472;Alberto;Padberg;truly athwart;true
6;2542;Felipa;Kris;populate instrument provided;true
7;8815;Katheryn;Lehner;excepting;true
8;29132;Sally;Zboncak;stagnate fooey;true
9;11459;Esta;Purdy;after duh evenly;true
10;19085;Christopher;Schroeder;miserably;true
